
---------- Begin Simulation Statistics ----------
simSeconds                                   0.028462                       # Number of seconds simulated (Second)
simTicks                                  28462079000                       # Number of ticks simulated (Tick)
finalTick                                 28462079000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     84.37                       # Real time elapsed on the host (Second)
hostTickRate                                337332662                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     671748                       # Number of bytes of host memory used (Byte)
simInsts                                     11301101                       # Number of instructions simulated (Count)
simOps                                       22528365                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   133939                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     267003                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         28462080                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.518523                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.397058                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        22779789                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      124                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       33252212                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  21622                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               251542                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            432234                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  88                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            28451136                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.168748                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.873761                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  17861313     62.78%     62.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2926532     10.29%     73.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1243479      4.37%     77.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1874766      6.59%     84.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2186063      7.68%     91.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1310251      4.61%     96.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    596711      2.10%     98.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    277517      0.98%     99.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    174504      0.61%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              28451136                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   48735      1.32%      1.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      1.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      1.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      1.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      1.32% # attempts to use FU when none available (Count)
