
---------- Begin Simulation Statistics ----------
simSeconds                                   0.009538                       # Number of seconds simulated (Second)
simTicks                                   9538004250                       # Number of ticks simulated (Tick)
finalTick                                  9538004250                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     49.96                       # Real time elapsed on the host (Second)
hostTickRate                                190908111                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     670440                       # Number of bytes of host memory used (Byte)
simInsts                                      6011443                       # Number of instructions simulated (Count)
simOps                                        9521941                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   120322                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     190585                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           250                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         38152018                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               6.346566                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.157566                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         9541588                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      140                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       12942155                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     79                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                19781                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             32423                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  92                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            38084258                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.339830                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.957679                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  31761955     83.40%     83.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3623957      9.52%     92.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    748430      1.97%     94.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    474481      1.25%     96.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1160951      3.05%     99.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    134106      0.35%     99.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    179467      0.47%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       529      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       382      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              38084258                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     479      0.10%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.10% # attempts to use FU when none available (Count)
