
---------- Begin Simulation Statistics ----------
simSeconds                                   0.025130                       # Number of seconds simulated (Second)
simTicks                                  25130259000                       # Number of ticks simulated (Tick)
finalTick                                 25130259000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     60.54                       # Real time elapsed on the host (Second)
hostTickRate                                415076222                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8541668                       # Number of bytes of host memory used (Byte)
simInsts                                      9998637                       # Number of instructions simulated (Count)
simOps                                       17799624                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   165146                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     293994                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         25130260                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.513369                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.397872                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        17874905                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       88                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       17867725                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    244                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                75363                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             66792                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  40                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            25106244                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.711685                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.538267                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  19456195     77.50%     77.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    992148      3.95%     81.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1619194      6.45%     87.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    564992      2.25%     90.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1015661      4.05%     94.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1014485      4.04%     98.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    345176      1.37%     99.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     51056      0.20%     99.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     47337      0.19%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              25106244                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   52468     15.02%     15.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     15.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     15.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     15.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     15.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     15.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     15.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     15.02% # attempts to use FU when none available (Count)
