
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003958                       # Number of seconds simulated (Second)
simTicks                                   3958342000                       # Number of ticks simulated (Tick)
finalTick                                  3958342000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     19.45                       # Real time elapsed on the host (Second)
hostTickRate                                203551246                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     734952                       # Number of bytes of host memory used (Byte)
simInsts                                      6011443                       # Number of instructions simulated (Count)
simOps                                        9521941                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   309123                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     489641                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          3958343                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.658468                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.518677                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         9540784                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      116                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        9858762                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     84                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                18953                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             31282                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  68                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3928876                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.509309                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.850518                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    705595     17.96%     17.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    617715     15.72%     33.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    750059     19.09%     52.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    668771     17.02%     69.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    510793     13.00%     82.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    385553      9.81%     92.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    275515      7.01%     99.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      8411      0.21%     99.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      6464      0.16%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3928876                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   57592     63.77%     63.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     63.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     63.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     63.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     63.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     63.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     63.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     63.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     63.77% # attempts to use FU when none available (Count)
