
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000994                       # Number of seconds simulated (Second)
simTicks                                    993901000                       # Number of ticks simulated (Tick)
finalTick                                   993901000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     12.70                       # Real time elapsed on the host (Second)
hostTickRate                                 78282777                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     680484                       # Number of bytes of host memory used (Byte)
simInsts                                      3255907                       # Number of instructions simulated (Count)
simOps                                        7460810                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   256440                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     587623                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.cpu.numCycles                          1987803                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.610522                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.637942                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         7480295                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       76                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        7484331                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    131                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                19555                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             33384                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  40                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1952061                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.834066                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.610038                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    291724     14.94%     14.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    104879      5.37%     20.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    257625     13.20%     33.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    274656     14.07%     47.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    330940     16.95%     64.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    129504      6.63%     71.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    166123      8.51%     79.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    100664      5.16%     84.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    295946     15.16%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1952061                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     280      0.14%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.14% # attempts to use FU when none available (Count)
